sgRNA	Gene	PlasmidLib	R1_2iSL	R1_High	R1_Negative	R1_Selected	R2_2iSL	R2_High	R2_Negative	R2_Selected
Lbr_p1_5	Lbr_p1	1701.4893719112288	1707.7668086989572	1802.4085180872855	1894.2815554148158	971.1817764674199	949.5023906836993	1346.6604756618813	2137.1493351796917	1302.8229892036898
Zbtb44_p1_4	Zbtb44_p1	3969.343164905568	2531.3969326340293	2901.781046671973	1840.2668956781863	2346.0475443580444	3639.3326133483033	2980.0530271243815	3469.779303575699	2983.395712843158
BRDN0000738373	NT	4027.606438684325	4028.0081923181483	5661.19730546967	3723.243057194638	4902.712823371674	4476.225556080297	7864.301121745181	2866.003732726523	3759.574911702076
Klf2_p1_8	Klf2_p1	3692.27733700096	3615.575716464604	2938.6904361208594	4122.700308270176	4270.859619404919	4256.125271447418	4180.8967633833845	5665.607594490093	4473.7149205989135
gRNA_2178	RE53	2577.7084762722734	2314.067244759108	2977.357415543502	2148.024840689214	2646.0942377761203	3150.5052370124904	5561.867060081237	1999.7170441168357	3521.0686925145224
Foxn3_p2_10	Foxn3_p2	2395.8564399325173	3389.602234185566	3638.211245675944	3259.721907361702	3791.9550084618627	3465.2998301502125	2943.2925045858406	4876.530058162909	3199.8435533775278
Zfp217_p1_10	Zfp217_p1	3188.46396309158	3582.2353666201557	2387.685979348198	2354.0342406149634	3806.163347704501	4716.800285795304	2776.644802411122	3273.6680567781405	4153.868430127743
gRNA_1966	RE49	2651.357289880053	3702.013660505766	6660.387205550237	3386.5935499989014	3384.0920937319997	2784.524531169447	5087.65631933406	1417.5600359067607	2897.9194955620696
BRDN0000737427	NT	2729.924431793831	1838.6585525327168	1423.647878742761	1860.3653737197228	2789.0134148638385	1540.7019924301537	1209.4211915179953	1388.2205580394095	1637.8346149989243
Mbd3_p1_6	Mbd3_p1	3131.840132081489	3025.328041440669	2555.5358218419433	3077.5794501102773	3555.4279493049953	3457.6219132444144	2845.264444483065	4450.335537563491	3907.090318945245
BRDN0000737804	NT	3910.4493362157855	3613.1060609205706	4304.337845729656	3361.4704524469807	3506.9524389477574	3544.63830484346	4427.192264391608	3933.0342172707187	3718.2154517273557
BRDN0000738028	NT	4353.477216702307	2624.009015535274	3138.1768981422215	2806.2499965495344	3148.400819236464	3137.70870883616	2950.6446090935488	3154.7659622630854	3045.434902805239
BRDN0000738263	NT	2911.7764681335875	4645.422078326448	4089.9118689313636	4306.098920399197	5241.205611211008	3199.132044082545	2845.264444483065	4192.4569689399295	3656.1762617652753
Foxn3_p2_5	Foxn3_p2	1922.5619237167716	1913.9830466257295	1203.949132023199	665.7620851258968	1652.3462754527447	3232.4030173410033	2005.899179853048	1650.7316757999208	2254.090568622257
Esrrb_p3_11	Esrrb_p3	3858.1132786006688	4861.516938429353	3758.606158878264	3503.415953615332	4054.3913921200124	2979.031759449666	2738.6589291212963	3281.3889720063908	3789.905182350204
Rlf_p1_5	Rlf_p1	5194.385246045924	6391.46854795792	6930.17726652186	7145.008943766228	7132.586299804614	6876.854241959839	7898.6109427811525	5816.9375329638	7195.167386935509
Elf1_p1_6	Elf1_p1	3633.2573973289727	1348.4319270421267	1512.4061724174637	1498.5927689720656	2259.961724240881	3562.553444290322	3094.0106469938582	3641.1836216428565	3056.4640921318305
BRDN0000737851	NT	4253.975651742482	4010.7206035099157	5002.979860297863	3966.937103448268	4356.945439522083	4757.7491759595605	3892.9393368314804	5412.361575003482	4232.451404079711
Smarce1_p2_2	Smarce1_p2	2644.6734078231825	2603.016943410992	3620.6353459383795	2178.172557751519	3280.4547957268705	3657.2477527951655	5983.387718523172	2373.409341164152	4093.2078888314863
Cdx4_p1_5	Cdx4_p1	4607.212512898971	4457.7282569799245	4121.5484884589805	3098.93408302941	4459.74695286588	7570.426069116935	7985.610846122367	4323.712527820186	6271.472780833423
Hes1_p2_6	Hes1_p2	2766.3705056511053	4867.691077289436	3442.239963602095	3083.8602244982576	4626.9038851322175	3365.4869103748374	2998.433288393652	2163.4004469557426	4097.343834828958
Sox2_p1_6	Sox2_p1	2281.599890054695	850.7963349194372	841.885597429361	606.7228058788833	501.470796799012	849.689470908324	820.9850033607465	1419.104218952411	1180.1232579453529
Foxn3_p2_4	Foxn3_p2	4861.7044749888655	7304.006271478187	5369.4373698260915	2997.1855379441313	7589.760509553047	6777.041322184463	5231.022357234369	4434.89370710699	6333.511970795503
Nup62cl_p1_2	Nup62cl_p1	6400.762901819924	8465.979204945806	5378.225319694874	6069.740368544025	8161.437217903921	8455.945818918983	5831.44422536387	7810.477844898035	6911.165761775764
gRNA_246	RE12	3823.4327584942657	7079.267616971166	7338.816935420245	8399.907666484663	5791.987703028589	5551.133922892032	8534.56798269791	7753.343072208982	5109.271955543782
gRNA_4600	RE97	3763.2778199824324	5934.582272311778	4256.004121451352	4790.974703151264	4901.877038710342	5679.099204655334	4171.093957373107	8860.52231594008	5157.524658847622
gRNA_1780	RE46	1909.0680486208257	2433.845538644718	3586.3623414501276	1931.9662017426965	2437.1480724431985	2131.901594176608	3672.376201600235	2757.9109195310184	2270.634352612145
Sall4_p1_7	Sall4_p1	6371.6312649305455	6512.481669615547	3383.3606994812526	5372.574411478227	7112.527467932654	10749.083668117351	6053.2327113464	13584.178252583633	8616.554161400065
Klf2_p1_10	Klf2_p1	3088.8362871495497	4588.620000813684	4463.399738354618	4915.334036033271	4929.457932534288	6126.9776908268905	5195.487185447113	5803.039885552949	4833.54222237898
gRNA_2008	RE50	3030.1946804241775	4520.704473352771	5481.044333159629	3743.3415352361744	4005.080097101443	2697.508139570402	4500.71330946869	1397.48565631331	2846.9094949265814
Pou5f1_p1_12	Pou5f1_p1	2293.83265532859	2785.771453669449	1945.6521009484397	2856.4961916533757	3992.5433271814672	4043.702903720337	2296.307307907521	5928.118712250604	4101.47978082643
Hic2_p1_12	Hic2_p1	2793.9888107540223	3427.8818951180806	3802.5459082221764	3786.0508010744393	3095.7463855725678	3726.3490049473485	3165.080990568371	4785.423258469556	2980.63841551151
Zic3_p1_4	Zic3_p1	2707.476676961323	1853.476485796916	1522.0729172731246	3004.7224672097077	2997.1237955354286	3462.7405245149466	2302.4340616639447	5545.161316929388	3765.089506365372
Zfp748_p1_5	Zfp748_p1	2344.2770482106307	3939.100592732953	2777.87095352214	3556.1744584743656	4112.060533751898	2771.728002993117	1724.0685070575678	2382.674439438052	3602.4089637981388
Pknox1_p1_9	Pknox1_p1	2560.0529387635593	3771.1640157386955	3867.576737251167	3635.3122157629155	3441.761235363886	4553.0047251382775	4889.149497625938	4371.582202235338	4475.093569264737
