sgRNA	Gene	R1_Unsorted	R2_Unsorted	R1_Selected	R2_Selected	R1_Negative	R2_Negative	R1_Low	R2_Low	R1_High	R2_High	PlasmidLib
Lcor_p1_1	Lcor_p1	902.671948420238	1500.9621723645594	712.0653923148126	846.7837032756069	873.3936883433248	1569.4205912948964	1027.44817583839	1376.5781511912276	775.2763033353178	1474.5345243625732	652.9968727790769
Myb_p1_1	Myb_p1	882.6125717886771	373.8028398609056	468.3043702297702	429.31660306007626	1049.0537672348476	358.6931731159222	860.7080147309026	511.99863611508044	783.5327069917109	367.6558230506151	376.08129349167467
Nr3c1_p1_6	Nr3c1_p1	1814.895980950743	1515.3392046669019	1259.2633713521898	1178.1140328134788	2023.5256015325122	1151.1291678766365	1857.626301915809	1396.359916677492	1631.4653625032886	1432.814714654702	1155.3741230403439
Zfp141_p1_6	Zfp141_p1	448.9479531825522	431.3109690702757	354.0097831110574	354.1178350081521	464.17439841167715	186.52045002027953	477.9101800756854	425.8897745866351	545.7482816875879	406.7681446517443	405.08258726839586
Zfp715_p1_11	Zfp715_p1	107.93855044601787	309.10619450036427	197.2340220190177	278.9190669562279	92.24607494862083	295.78390890789893	106.85461028719256	296.7264822939671	99.07684387671793	307.6835965955502	219.84851733966056
Zfp932_p1_3	Zfp932_p1	593.184423247585	1026.5201063872562	500.6709789713526	564.2186354441342	746.8006705946856	1091.5309175742987	787.905972557211	1092.6516348001376	862.7941820930853	1029.9578021630705	363.9194606175658
Atf5_p1_11	Atf5_p1	323.8156513380536	61.82123890007285	410.65134840882655	347.28158336706804	409.2192899316477	93.81206066108734	298.2535276148012	63.999829514385056	156.87166947147006	58.66848240169389	462.1496492161375
Zbtb44_p2_12	Zbtb44_p2	224.4739765912761	235.78332975841738	178.01634807870315	173.64079168353402	199.21226824010668	327.79037666285814	240.71642976785137	186.18132222366563	169.2562749560598	251.62260230059826	158.10382736341546
Ubtf_p2_9	Ubtf_p2	847.2698605806889	734.666350649703	769.7184141357562	639.4174034960583	955.826351063369	663.3064524389822	873.6245060842996	834.3250502148015	1065.901712040357	688.376860179875	727.8389212351316
Rfx2_p1_6	Rfx2_p1	499.5739989669677	701.5991763543151	403.57115274660543	373.2593396031873	465.15573963453477	724.0083740432152	650.5214736165349	529.4531350735491	570.5174926567674	623.1896575113262	270.36690004749744
