cell	stage	embryo	run	sex
E3.5_P9_Cell46_embryo9_single	E3.5	embryo9	P9	XY
E3.5_P9_Cell47_embryo9_double	E3.5	embryo9	P9	XY
E3.5_P9_Cell49_embryo6_single	E3.5	embryo6	P9	XX
E3.5_P9_Cell4_embryo6_single	E3.5	embryo6	P9	XX
E3.5_P9_Cell50_embryo6_single	E3.5	embryo6	P9	XX
E3.5_P9_Cell51_embryo6_single	E3.5	embryo6	P9	XX
E3.5_P9_Cell52_embryo6_single	E3.5	embryo6	P9	XX
E3.5_P9_Cell53_embryo7_single	E3.5	embryo7	P9	XX
E3.5_P9_Cell54_embryo7_single	E3.5	embryo7	P9	XX
E3.5_P9_Cell56_embryo8_single	E3.5	embryo8	P9	XY
E3.5_P9_Cell57_embryo8_single	E3.5	embryo8	P9	XY
E3.5_P9_Cell58_embryo9_single	E3.5	embryo9	P9	XY
E3.5_P9_Cell59_embryo9_double	E3.5	embryo9	P9	XY
E3.5_P9_Cell5_embryo7_single	E3.5	embryo7	P9	XX
E3.5_P9_Cell61_embryo6_single	E3.5	embryo6	P9	XX
E3.5_P9_Cell62_embryo6_single	E3.5	embryo6	P9	XX
E3.5_P9_Cell63_embryo6_single	E3.5	embryo6	P9	XX
E3.5_P9_Cell65_embryo7_single	E3.5	embryo7	P9	XX
E3.5_P9_Cell66_embryo7_single	E3.5	embryo7	P9	XX
E3.5_P9_Cell68_embryo8_single	E3.5	embryo8	P9	XY
E3.5_P9_Cell69_embryo8_single	E3.5	embryo8	P9	XY
E3.5_P9_Cell6_embryo7_single	E3.5	embryo7	P9	XX
E3.5_P9_Cell70_embryo9_single	E3.5	embryo9	P9	XY
E3.5_P9_Cell71_embryo9_double	E3.5	embryo9	P9	XY
E3.5_P9_Cell73_embryo6_single	E3.5	embryo6	P9	XX
E3.5_P9_Cell74_embryo6_single	E3.5	embryo6	P9	XX
E3.5_P9_Cell75_embryo6_single	E3.5	embryo6	P9	XX
E3.5_P9_Cell77_embryo7_single	E3.5	embryo7	P9	XX
E3.5_P9_Cell78_embryo7_single	E3.5	embryo7	P9	XX
E3.5_P9_Cell80_embryo8_single	E3.5	embryo8	P9	XY
E3.5_P9_Cell81_embryo8_single	E3.5	embryo8	P9	XY
E3.5_P9_Cell82_embryo9_single	E3.5	embryo9	P9	XY
E3.5_P9_Cell83_embryo9_double	E3.5	embryo9	P9	XY
E3.5_P9_Cell85_embryo6_single	E3.5	embryo6	P9	XX
E3.5_P9_Cell86_embryo6_single	E3.5	embryo6	P9	XX
E3.5_P9_Cell87_embryo6_single	E3.5	embryo6	P9	XX
E3.5_P9_Cell89_embryo7_single	E3.5	embryo7	P9	XX
E3.5_P9_Cell8_embryo8_single	E3.5	embryo8	P9	XY
E3.5_P9_Cell90_embryo7_single	E3.5	embryo7	P9	XX
E3.5_P9_Cell92_embryo8_single	E3.5	embryo8	P9	XY
E3.5_P9_Cell94_embryo9_single	E3.5	embryo9	P9	XY
E3.5_P9_Cell9_embryo8_single	E3.5	embryo8	P9	XY
E4.5_P1_Cell13_embryo1_single	E4.5	embryo1	P1	XX
E4.5_P1_Cell19_embryo2_single	E4.5	embryo2	P1	XX
E4.5_P1_Cell1_embryo1_single	E4.5	embryo1	P1	XX
E4.5_P1_Cell20_embryo2_double	E4.5	embryo2	P1	XX
E4.5_P1_Cell21_embryo2_double	E4.5	embryo2	P1	XX
E4.5_P1_Cell25_embryo1_single	E4.5	embryo1	P1	XX
E4.5_P1_Cell27_embryo1_double	E4.5	embryo1	P1	XX
E4.5_P1_Cell28_embryo1_double	E4.5	embryo1	P1	XX
E4.5_P1_Cell2_embryo1_single	E4.5	embryo1	P1	XX
E4.5_P1_Cell32_embryo2_double	E4.5	embryo2	P1	XX
E4.5_P1_Cell33_embryo2_double	E4.5	embryo2	P1	XX
E4.5_P1_Cell37_embryo1_single	E4.5	embryo1	P1	XX
E4.5_P1_Cell38_embryo1_single	E4.5	embryo1	P1	XX
E4.5_P1_Cell39_embryo1_double	E4.5	embryo1	P1	XX
E4.5_P1_Cell44_embryo2_double	E4.5	embryo2	P1	XX
E4.5_P1_Cell49_embryo1_single	E4.5	embryo1	P1	XX
E4.5_P1_Cell50_embryo1_single	E4.5	embryo1	P1	XX
E4.5_P1_Cell51_embryo1_double	E4.5	embryo1	P1	XX
E4.5_P1_Cell55_embryo2_single	E4.5	embryo2	P1	XX
E4.5_P1_Cell61_embryo1_single	E4.5	embryo1	P1	XX
E4.5_P1_Cell62_embryo1_single	E4.5	embryo1	P1	XX
E4.5_P1_Cell67_embryo2_single	E4.5	embryo2	P1	XX
E4.5_P1_Cell68_embryo2_double	E4.5	embryo2	P1	XX
E4.5_P1_Cell73_embryo1_single	E4.5	embryo1	P1	XX
E4.5_P1_Cell74_embryo1_single	E4.5	embryo1	P1	XX
E4.5_P1_Cell78_embryo2_single	E4.5	embryo2	P1	XX
E4.5_P1_Cell79_embryo2_single	E4.5	embryo2	P1	XX
E4.5_P1_Cell7_embryo2_single	E4.5	embryo2	P1	XX
E4.5_P1_Cell85_embryo1_single	E4.5	embryo1	P1	XX
E4.5_P1_Cell86_embryo1_single	E4.5	embryo1	P1	XX
E4.5_P1_Cell8_embryo2_double	E4.5	embryo2	P1	XX
E4.5_P1_Cell90_embryo2_single	E4.5	embryo2	P1	XX
E4.5_P1_Cell91_embryo2_single	E4.5	embryo2	P1	XX
E4.5_P1_Cell92_embryo2_double	E4.5	embryo2	P1	XX
E4.5_P2_Cell11_embryo5_double	E4.5	embryo5	P2	XX
E4.5_P2_Cell13_embryo3_single	E4.5	embryo3	P2	XX
E4.5_P2_Cell14_embryo3_single	E4.5	embryo3	P2	XX
E4.5_P2_Cell15_embryo4_single	E4.5	embryo4	P2	XY
E4.5_P2_Cell16_embryo4_single	E4.5	embryo4	P2	XY
E4.5_P2_Cell19_embryo4_double	E4.5	embryo4	P2	XY
E4.5_P2_Cell22_embryo5_single	E4.5	embryo5	P2	XX
E4.5_P2_Cell23_embryo5_double	E4.5	embryo5	P2	XX
E4.5_P2_Cell25_embryo3_single	E4.5	embryo3	P2	XX
E4.5_P2_Cell26_embryo3_double	E4.5	embryo3	P2	XX
E4.5_P2_Cell28_embryo4_single	E4.5	embryo4	P2	XY
E4.5_P2_Cell29_embryo4_single	E4.5	embryo4	P2	XY
E4.5_P2_Cell2_embryo3_single	E4.5	embryo3	P2	XX
E4.5_P2_Cell30_embryo4_double	E4.5	embryo4	P2	XY
E4.5_P2_Cell31_embryo4_double	E4.5	embryo4	P2	XY
E4.5_P2_Cell33_embryo5_single	E4.5	embryo5	P2	XX
E4.5_P2_Cell35_embryo5_double	E4.5	embryo5	P2	XX
E4.5_P2_Cell37_embryo3_single	E4.5	embryo3	P2	XX
E4.5_P2_Cell38_embryo3_double	E4.5	embryo3	P2	XX
E4.5_P2_Cell39_embryo4_single	E4.5	embryo4	P2	XY
E4.5_P2_Cell3_embryo4_single	E4.5	embryo4	P2	XY
E4.5_P2_Cell40_embryo4_single	E4.5	embryo4	P2	XY
E4.5_P2_Cell41_embryo4_single	E4.5	embryo4	P2	XY
E4.5_P2_Cell42_embryo4_double	E4.5	embryo4	P2	XY
E4.5_P2_Cell43_embryo4_double	E4.5	embryo4	P2	XY
E4.5_P2_Cell44_embryo5_single	E4.5	embryo5	P2	XX
E4.5_P2_Cell45_embryo5_single	E4.5	embryo5	P2	XX
E4.5_P2_Cell46_embryo5_single	E4.5	embryo5	P2	XX
E4.5_P2_Cell47_embryo5_double	E4.5	embryo5	P2	XX
E4.5_P2_Cell49_embryo3_single	E4.5	embryo3	P2	XX
E4.5_P2_Cell50_embryo3_double	E4.5	embryo3	P2	XX
