Gene	reporter	pval	fdr	lfc	norm_lfc	zfc
Mbd3_p1	RE57M	0.007944462971206937	0.5958347228405203	-0.5522113902498968	-0.4791014546243204	0.48168289352327787
Mbd3_p1	RE57R	0.2310355478039315	1	-0.03553300225212186	0.0375769333734546	-0.19082198663286945
Mbd3_p1	RE58	0.24805267986761478	1	-0.4623617792509009	-0.3892518436253244	0.3094672320364603
Mbd3_p1	RE61	0.04387426552405536	1	-0.4254109396006498	-0.35230100397507336	0.348587960836445
Mbd3_p1	RE85	4.3535905500897114e-4	0.03874695589579843	-0.7462215937831314	-0.6731116581575549	0.5712764657049385
Mbd3_p1	RE93	8.937958747411035e-4	0.08580440397514594	-0.4483784844001321	-0.3752685487745557	0.6666726055631712
Mbd3_p1	RE95	0.31953348595973635	1	-0.21179024988140363	-0.13868031425582716	0.14902344101537132
Mbd3_p1	RE96	0.004145442207934089	0.37308979871406805	-0.4834065753122391	-0.41029663968666263	0.45062944462142207
Mbd3_p1	RE97	0.005315295485013844	0.49432248010628743	-0.5209290184042809	-0.4478190827787044	0.5993227633725084
Mis18bp1_p1	RE127	0.17277107363832347	1	0.2126654677323896	0.19424174718911655	-0.48644393515439704
Mis18bp1_p1	RE57L	0.0894622902798512	1	-0.5454336890209072	-0.5638574095641803	0.39050602814374724
Mis18bp1_p1	RE57M	0.5771049065445528	1	-0.02765737171562803	-0.04608109225890108	-0.12112734070699512
Mis18bp1_p1	RE57R	0.7518811451986396	1	-0.02771287066174337	-0.04613659120501641	-0.11224761504631398
Mis18bp1_p1	RE58	0.8288540737843729	1	-0.09403990122929161	-0.11246362177256465	-0.062444477069937276
Mis18bp1_p1	RE61	0.3732225421407024	1	-4.027707934053606e-4	-0.0188264913366784	-0.24427700429300017
Mis18bp1_p1	RE85	0.12841305006549827	1	-0.4858178345423121	-0.5042415550855851	0.35351331809858355
Mis18bp1_p1	RE93	0.358037993735856	1	0.11967008101215731	0.10124636046888427	-0.2441927979165136
Mis18bp1_p1	RE95	0.1834400778492185	1	-0.24358677478146523	-0.2620104953247383	0.4378444925619045
Mis18bp1_p1	RE96	0.2006824724298392	1	0.048047938796241106	0.029624218252968078	-0.2475008223859411
Mis18bp1_p1	RE97	0.603209313307802	1	-0.15128781634719887	-0.16971153689047191	0.11052358637873037
Mitf_p1	RE127	0.9294770405046162	1	0.02316678905291216	-0.06360085409766436	0.021771657624183094
Mitf_p1	RE57L	0.36985887393611583	1	0.008877618105925203	-0.07789002504465131	-0.13271904063212828
Mitf_p1	RE57M	0.4498113249362359	1	0.042276979330922476	-0.04449066381965404	-0.12779149709313636
Mitf_p1	RE57R	0.7219983824732414	1	0.044779849137936284	-0.04198779401264024	-0.07403354446112717
Mitf_p1	RE58	0.40511260064069676	1	-0.22546429630281487	-0.3122319394533914	0.1785139249213499
Mitf_p1	RE61	0.627461259803618	1	0.00364019984419981	-0.08312744330637671	-0.08772267728940542
Mitf_p1	RE85	0.1228071614196504	1	0.07188179684651014	-0.014885846304066377	-0.25559407194636
Mitf_p1	RE93	0.05560868106727365	1	-0.08287326080481161	-0.1696409039553881	0.27708403390328745
Mitf_p1	RE95	0.8493488429580267	1	-0.006449454261666224	-0.09321709741224274	0.03674088017917073
Mitf_p1	RE96	0.11405014170122318	1	0.09636367672785351	0.009596033577277	-0.212738077979578
Mitf_p1	RE97	0.46958675090554536	1	-0.09912420452009743	-0.18589184767067396	0.15794232460496188
Mllt10_p2	RE127	0.009385309625218108	0.872833795145284	0.03832760835166784	0.23504774572818607	-0.5393411197419703
Mllt10_p2	RE57L	0.2194921345085472	1	-0.1320578624385209	0.06466227493799728	-0.22855853766067405
Mllt10_p2	RE57M	0.6113506370436783	1	-0.377246517293549	-0.18052637991703083	0.06423645441253295
Mllt10_p2	RE57R	0.513447286515776	1	-0.21450354123179113	-0.01778340385527293	-0.15356496316866391
Mllt10_p2	RE58	0.8737230209573387	1	-0.4034708351180318	-0.20675069774151358	0.03903147690753324
Mllt10_p2	RE61	0.5745076187578642	1	-0.28648805416088713	-0.08976791678436889	-0.10487846076665368
Mllt10_p2	RE85	0.1627543959091337	1	-0.180266763333534	0.0164533740429842	-0.2946577380543681
Mllt10_p2	RE93	0.9623521903206932	1	-0.2255896884222623	-0.028869551045744093	0.012255218909453304
Mllt10_p2	RE95	0.1491046112852335	1	-0.12932281461922135	0.06739732275729687	-0.3096885987081485
Mllt10_p2	RE96	0.22250285721562224	1	-0.1547571194623751	0.04196301791414312	-0.2364665984488393
Mllt10_p2	RE97	0.7396208925677806	1	-0.32132903105213084	-0.12460889367561263	0.0634310737610021
Mxi1_p1	RE127	0.614841198131381	1	0.06686659916543712	-0.10174762442350695	0.08823977528666563
Mxi1_p1	RE57L	0.8775594774293886	1	0.02389801489256034	-0.1447162086963837	-0.024606932960308255
Mxi1_p1	RE57M	0.6135181312477112	1	0.10826724123701231	-0.060346982351931755	-0.08935985506536338
